protein	HGS
protein	TCF12
protein	APH1A
protein	DDR2
protein	IL22RA2
protein	DAB1
protein	KMT2D
complex	MLL2 complex
protein	FASN
protein	FLNA
protein	MAP2K2
protein	FKBP8
protein	MSI2
protein	RND1
protein	FHL1
protein	FLT1
protein	S1PR1
protein	BORA
protein	GNA13
protein	RAC2
protein	ANGPT2
protein	ACVR2A
protein	NR1I3
protein	STK39
protein	MEF2D
protein	MAPK15
protein	CARD11
protein	FGR
protein	TNFRSF10B
protein	IL10
protein	PPP2R5A
protein	TRAF1
protein	IFNB1
protein	THBS1
protein	RYK
protein	KSR1
protein	ABRAXAS1
protein	NUMA1
protein	NGFR
protein	KREMEN1
protein	SIAH2
protein	NR2E3
protein	NR2F1
protein	MOB1A
protein	MOB1B
protein	SAV1
protein	ENDOG
protein	SMAD9
protein	AP2M1
protein	RACK1
protein	PRKAB1
protein	HOXB7
protein	OXSR1
protein	NEDD4L
protein	FCGR2B
protein	CDKN2B
protein	DOK4
protein	IL15RA
protein	IL2RB
protein	DLX2
protein	PPP2R5D
protein	APP
protein	CASP6
protein	NR1I2
protein	WNT8A
protein	KLF5
protein	PELI2
protein	CTGF
protein	PTN
protein	STAT2
protein	TNFRSF10A
protein	ROR2
protein	IL13RA1
protein	IL10RB
family	SRC
NFYA	NFY	component>
DEPTOR	mTORC2	component>
DEPTOR	mTORC1	component>
MTOR	mTORC1	component>
CUL1	SCF-betaTRCP	component>
EP300	CBP/p300	component>
CREBBP	CBP/p300	component>
CREBBP	P300/PCAF	component>
KAT2B	P300/PCAF	component>
EP300	P300/PCAF	component>
SMAD2	SMAD2/SMAD4	component>
SMAD4	SMAD2/SMAD4	component>
SMAD3	SMAD3/SMAD4	component>
SMAD4	SMAD3/SMAD4	component>
JUN	SMAD4/JUN	component>
SMAD4	SMAD4/JUN	component>
SMURF2	SMAD2/SMURF2	component>
SMAD2	SMAD2/SMURF2	component>
E2F1	SMAD7/HDAC1/E2F-1	component>
HDAC1	SMAD7/HDAC1/E2F-1	component>
SMAD7	SMAD7/HDAC1/E2F-1	component>
RELA	NfKb-p65/p50	component>
NFKB1	NfKb-p65/p50	component>
IKBKB	IKK-complex	component>
CHUK	IKK-complex	component>
PRKAA2	AMPK	component>
PRKAA1	AMPK	component>
PRKAB1	AMPK	component>
CDK2	CyclinE/CDK2	component>
CDK1	CyclinB/CDK1	component>
CCND1	CyclinD/CDK4	component>
CDK4	CyclinD/CDK4	component>
ASH2L	HMT	component>
KMT2D	HMT	component>
CDON	CDON/SPAG9	component>
SPAG9	CDON/SPAG9	component>
SPAG9	CDO/JLP/P38	component>
CDON	CDO/JLP/P38	component>
SRF	NKX3-1/SRF	component>
NKX3-1	NKX3-1/SRF	component>
BMPR2	BMPR1A/1B/2	component>
BMPR1B	BMPR1A/1B/2	component>
BMPR1A	BMPR1A/1B/2	component>
BMPR2	ACVR1/BMPR2	component>
ACVR1	ACVR1/BMPR2	component>
EP300	CDX2/PAX6/P300	component>
CDX2	CDX2/PAX6/P300	component>
PAX6	CDX2/PAX6/P300	component>
DDX5	RNA helicases p68/p72	component>
DDB2	DDB2/DDB1	component>
DDX5	DDX5/DDX17	component>
DNMT1	DNMT1/DNMT3A	component>
DNMT3A	DNMT1/DNMT3A	component>
DNMT1	DNMT1/DNMT3B	component>
ELF4	ELF4/RUNX1	component>
RUNX1	ELF4/RUNX1	component>
PML	KAT6A/PML	component>
KMT2A	KMT2A/WDR5	component>
RELA	REL/RELA	component>
SOX2	SOX2/POU5F1	component>
POU5F1	SOX2/POU5F1	component>
STAT3	SP1/STAT3	component>
SP1	SP1/STAT3	component>
EZH2	SUZ12/EZH2	component>
CDK2	CyclinA2/CDK2	component>
NR3C1	NR3C1/STAT5A	component>
STAT5A	NR3C1/STAT5A	component>
SMAD4	SMAD1/4	component>
SMAD1	SMAD1/4	component>
JUN	SMAD3/JUN	component>
SMAD3	SMAD3/JUN	component>
ASH2L	MLL/SET subcomplex	component>
KMT2D	MLL2 complex	component>
KMT2A	MLL1 complex	component>
PAX7	PAX7/MLL1 complex	component>
MLL2 complex	PAX7/MLL2 complex	component>
PAX7	PAX7/MLL2 complex	component>
SMARCA4	SWI/SNF complex	component>
SMARCB1	SWI/SNF complex	component>
MYOD1	MYOD1/SWI/SNF complex	component>
PBX1	MYOD1/SWI/SNF complex	component>
MYOG	Myog/SWI/SNF complex	component>
MEF2D	Myog/SWI/SNF complex	component>
PTCH1	CDON/BOC/PTCH1	component>
CDON	CDON/BOC/PTCH1	component>
BAK1	BAK/BAX	component>
BAX	BAK/BAX	component>
NOTCH1	RBPJ/NOTCH	component>
RBPJ	RBPJ/NOTCH	component>
NOTCH	RBPJ/NOTCH	component>
PSENEN	g-secretase	component>
NCSTN	g-secretase	component>
APH1A	g-secretase	component>
PSEN1	g-secretase	component>
ULK1	ULK1/Atg13/Fip200	component>
ATG13	ULK1/Atg13/Fip200	component>
TSC2	TSC1/TSC2	component>
TSC1	TSC1/TSC2	component>
SUZ12/EZH2	SUZ12/EZH2/YY1	component>
YY1	SUZ12/EZH2/YY1	component>
HDAC1	CoREST-HDAC complex	component>
HDAC2	CoREST-HDAC complex	component>
PRKDC	Ku70/Ku80/DNA-PK	component>
GSK3B	GSK3B/Axin/APC	component>
AXIN1	GSK3B/Axin/APC	component>
APC	GSK3B/Axin/APC	component>
REST	REST-CoREST	component>
SMURF1	PARD6/SMURF1	component>
PARD6A	PARD6/SMURF1	component>
CDK9	AEP complex	component>
CCNT1	AEP complex	component>
STAT1	STAT1/STAT3	component>
STAT3	STAT1/STAT3	component>
STAT3	JAK1/STAT1/STAT3	component>
JAK1	JAK1/STAT1/STAT3	component>
STAT1	JAK1/STAT1/STAT3	component>
PRKCQ	PKCtheta/Nfix	component>
MTA1	MTA1/DJ1 complex	component>
STAT1	ISGF3 complex	component>
IRF9	ISGF3 complex	component>
STAT2	ISGF3 complex	component>
ARNT	AHR-ARNT	component>
MYOD1	MYOD/E12E47	component>
TCF3	MYOD/E12E47	component>
MYOD1	MYOD/HEB	component>
TCF12	MYOD/HEB	component>
TCF4	MYOD/E2-2	component>
MYOD1	MYOD/E2-2	component>
EZH2	PRC2	component>
PPP2R2A	PP2Ca_R1A_Ba	component>
PPP2CA	PP2Ca_R1A_Ba	component>
PPP2CA	PP2Ca_R1A_Bd	component>
PPP2R5D	PP2Ca_R1A_Bd	component>
FBXW7	SCF-FBW7	component>
CUL1	SCF-FBW7	component>
SKP2	SCF-SKP2	component>
CUL1	SCF-SKP2	component>
IFNGR2	IFNGR2/INFGR1	component>
IFNGR1	IFNGR2/INFGR1	component>
CDK6	CDK6/CCND1	component>
CCND1	CDK6/CCND1	component>
CDK5R1	CDK5/CDK5R1	component>
CDK5	CDK5/CDK5R1	component>
MRE11	MRE11/RAD50/NBS1	component>
NBN	MRE11/RAD50/NBS1	component>
WT1	PAX2/TLE4	component>
FOS	AP1	component>
JUN	AP1	component>
PPP3CA	Calcineurin	component>
PIK3R1	PI3K	component>
PIK3CA	PI3K	component>
ITGA6	A6/b1 integrin	component>
ITGA6	A6/b4 integrin	component>
ITGB4	A6/b4 integrin	component>
NLK	SETDB1/NLK/CHD7	component>
ABI1	WRC complex	component>
CLOCK	CLOCK/ARNTL	component>
ARNTL	CLOCK/ARNTL	component>
RELA	SNAIL/RELA/PARP1	component>
SNAI1	SNAIL/RELA/PARP1	component>
SMAD5	SMAD5/SMAD4	component>
SMAD4	SMAD5/SMAD4	component>
SMAD4	SMAD8/SMAD4	component>
SMAD9	SMAD8/SMAD4	component>
HBA1	Hemoglobin	component>
HBB	Hemoglobin	component>
RUNX1	Core Binding Factor complex	component>
CBFB	Core Binding Factor complex	component>
MAPK3	ERK1/2	member>
