#Treatment	Dose	Effect
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.610731399187718|0.910446656369208|0.994675259945025|0.97826183508604|1.00551226565469
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.46403691998119|1.07521790006671|1.08476503975241|0.995450618431557|0.948053936418018
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.420128826237683|1.18338600846447|1.13826401723516|1.13553001388874|1.04036482540655
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.441823122213316|0.894166818192295|0.96879425722137|0.962729817426557|0.922091924409626
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.417975122479659|0.976221147172788|1.00848970351343|0.933411529094201|0.982582662565658
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.574202443727105|0.738654998273129|0.776183858782705|0.791293304361778|0.873617483010032
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.478650701490548|0.679555201418482|0.728081649746952|0.791032234027799|0.91395284960989
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.520088522548071|0.725132187487576|0.758283086627529|0.767283762473331|0.937321265289355
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.486513563297597|0.702710009143796|0.732913690515631|0.809551953989478|0.859718265064073
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.56639321188724|0.919340893553706|1.04028431254273|0.965938794386134|1.00824385732095
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.460570233642981|0.940604013351028|0.976545220573451|1.02446012788032|1.01412514577553
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.436156757116595|0.905076222712679|0.987356810372639|1.01279681283061|0.913750812922784
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.396337622834553|0.930219220311036|0.961793909352069|1.00419391344869|1.0047367154335
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000989644810292306|0.00257720002680288|0.0231948002412259|0.879515898746965|0.979738053389276
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000865939209005768|0.00280399362916153|0.023442211443799|0.850867743249024|0.96700668525687
