#Treatment	Dose	Effect
PK	10|2|0.4|0.08|0.016	0.000520461831492644|0.023251475556322|0.32482775378393|1.04672712593765|0.945227662859875
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000681304523468976|0.0586737126365248|0.364602736136436|0.961853497690771|0.94002554891963
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000395971859793935|0.064106679477521|0.348123319030306|0.962298966033039|0.974958419315274
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000673281658966008|0.0458290583773453|0.368603346056826|0.98781436706551|0.957351432368475
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00053250458481857|0.0629151106591963|0.344028565504567|0.94256371884064|0.948353941107747
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0010326601692585|0.0497632214108949|0.36159909565855|0.969625126027314|0.957938956952125
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000623262350676729|0.0476367969203507|0.3508997586386|0.953013962298738|0.943182304237573
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00122293664717807|0.0451639911007841|0.364673436718516|0.966038422160866|0.949246561274614
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000997163727699045|0.0285289169641695|0.363723309015708|0.964012737355541|0.951143680945236
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000857113120565205|0.0565939549036054|0.489812598338425|0.982768965158352|1.0596152786536
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00146933677811178|0.0560184646655116|0.523738972321368|1.08469195966671|1.00731913382597
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00078040547774853|0.0519064814102498|0.452961932233205|1.11328648256817|1.04408418544782
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00129433103626586|0.0525885431082821|0.461749424807853|1.15272551061439|0.957960413456284
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000744518274285011|0.0744910126008319|0.480583747110094|1.06560717424527|0.997522937320518
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000806094973661966|0.0752999065153746|0.512847138642738|1.10859330829214|0.975332934017768
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000643869880002914|0.0788768356015639|0.49707587326587|1.08465986949146|1.05725932067565
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00107681686828074|0.0733817392118838|0.510266879902309|1.1101010556552|1.020766885106
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00051680984102088|0.0200714519652295|0.32900955797735|0.581648443110354|0.557803077422321
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000673054676678355|0.0296865187749203|0.295981803486063|0.575882407732917|0.576729735495522
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000498249608569893|0.0156948626699516|0.300890621175319|0.524231008216773|0.547967387825039
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00074158081275519|0.0300050549160869|0.304798404442533|0.554508362337544|0.574531044281934
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000797092158374179|0.0315067667872088|0.51892244262404|1.02497092003899|1.0760558767782
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000988641436743168|0.0346642403758073|0.469972333487294|1.14900834629638|1.00638755053271
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00107130817160551|0.0330828683342014|0.481637108371074|1.12093714550872|1.04816604653806
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00117096474570834|0.0352099133377089|0.418003271538472|1.12392995699975|1.00940275348
JN	10|2|0.4|0.08|0.016	0.692725089965583|0.968684570068284|1.02934854430663|0.991606634608827|0.99924243368728
JN	10|2|0.4|0.08|0.016	0.736421925567826|0.966015120524914|1.03486638451661|1.03646218732055|0.991723973050293
JN	10|2|0.4|0.08|0.016	0.716095185095342|1.05103459647487|1.05396771037958|1.04735631309168|1.07186129066525
JN	10|2|0.4|0.08|0.016	0.771056983268567|1.1063134880432|1.04955377031974|1.05229345725343|1.043903166019
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.220003633277995|0.566313221592996|0.714085400907061|0.970082079052894|1.0139834017391
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.221312242495354|0.572623486232472|0.703125798711681|0.999453435453086|1.04278853299716
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.213728571727307|0.589791640862391|0.724654839327164|0.911571629184113|1.00691206063696
