#Treatment	Dose	Effect
BI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.04964951290287|1.13430252179544|1.02943897842821|1.09386207553598|1.10586954871859
BI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.01498996416812|1.01652077166908|0.980433761087455|1.0355751266388|0.998855123925972
CT-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.723177477839877|1.02521133069152|0.997652039701355|1.00114402439825|1.06962572428727
CT-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.428755238690277|0.77594524659289|0.924423066498914|0.938670592296522|0.979895411634814
PD-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.738437245946532|0.831107669671485|0.83896961089188|0.850950237611162|0.835933046516026
PD-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.649372052289639|0.804965610908443|0.799681988894456|0.833028986767481|0.790903557335166
PI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.335714948793432|0.385409471602343|0.633303071450037|0.904590103577458|1.03196693325445
PI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.269776560309521|0.368756519809995|0.509425501484511|0.826026688148933|0.942905738691522
PK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000662069696076906|0.00133738078607535|0.00244965787548455|1.02420857843705|1.06779262652979
PK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000820966423135363|0.0015624844827415|0.00258207181469993|0.654277135754081|0.981650738373229
JN-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.251607834782493|0.758405347465413|0.846440127295242|1.05482616742786|1.03733638699884
JN-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.178393097295642|0.614326040931546|0.835947590578022|0.938622654824836|0.961358703612469
D1-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.322302799536882|0.733392434129256|0.949875742998736|1.01718605931718|1.0790642696934
D1-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.276934057398822|0.517800481526157|0.867832211871509|0.980847143703747|0.952265611249174
SB	10|2|0.4|0.08|0.02	0.784418444754463|0.922973778732558|0.95217065078156|1.01730871826473|1.04740140991735
SB	10|2|0.4|0.08|0.02	0.710014064938362|0.79130541457333|0.849197043224722|0.917193745239175|0.999774618634759
5Z-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.214629891111562|0.524403625657865|0.740463462539148|0.802718553270311|0.915927194228319
5Z-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.197117196202086|0.264766329469995|0.647528029559574|0.689366365632716|0.787900119116139
AK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.665306193091794|0.914445932189256|1.00762945608854|1.10394091537739|0.878716980063345
AK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.430711038874195|0.73910532866136|0.935668061230751|0.944554670426063|0.949293775754725
BI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.747602480113082|1.0046245568271|0.998652688168484|1.03886018081123|1.06368117371716
BI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.707653194651801|0.893237951159119|0.915106113220539|0.923785846936107|0.917582253883866
CT-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.686229211328744|0.853324190090678|0.952277599499341|0.980086816420554|0.967996431472284
CT-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.341054047216415|0.679658060478556|0.808937297772333|0.883636702573867|0.899928096829603
PD-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.59605222813773|0.842204604008299|0.899904033385232|0.882295553281381|0.910273206200797
PD-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.69159674908115|0.74295680705932|0.982618494877135|0.956647778631699|0.897817456367046
PI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.356717926098926|0.440586479729718|0.669704753623922|0.888779625415086|0.859705097080797
PI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.352249371383535|0.38931379123968|0.544324917434775|0.787745458686657|0.836624795055667
PK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000646006424174996|0.00133507994329499|0.00333052200907998|0.583889317565991|0.959147271520089
PK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000746496312379995|0.00172268379779999|0.00233997882534499|0.133579772821074|0.896427225581854
JN-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.187937491502519|0.874822325405098|1.08742208067766|1.12784742850786|1.09493694354377
JN-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.122289561179801|0.688211470877846|1.10946403042201|0.967060675101661|1.02937965301439
D1-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.424493489674757|0.881807756219721|1.02416894859613|1.02750797700127|1.04425772930466
D1-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.427754503397539|0.702225758887823|0.925043493185417|0.915291657890015|0.922024324977961
60-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.924484069267885|1.10463429939828|1.02504884892826|1.13128870923397|1.10226688409949
60-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.899802505514525|0.948494025844284|1.02446958773813|0.977557826427323|1.01027349103509
RU	10|2|0.4|0.08|0.02	0.696534450421895|0.930732810627208|0.987524340080198|0.952036602702197|0.94478933137949
RU	10|2|0.4|0.08|0.02	0.392276479418944|1.00170828538321|0.86526048365581|1.02613397895106|0.840571976952084
5Z-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.221656221359764|0.667253556134411|0.826046323294149|0.845995744750081|1.01814356135857
5Z-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.428952329993366|0.496638641790748|0.650550705984646|0.773971030316396|0.936270672940479
AK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.384510201518115|0.833025283973657|0.880370377016527|0.936178154216089|0.959247761408294
AK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.128548100561667|0.646178692554776|0.841222387711522|0.773886984765015|0.846727798015325
BI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.851816297858841|1.04317338156469|1.05489887483057|0.989020225033887|1.00451138971403
BI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.576724525068083|0.94914695594494|0.975416016051483|0.911358402102843|0.976248254153981
CT-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.442085800547663|1.0091277178365|0.97857716822306|0.976790631996942|1.01232631981339
CT-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.148883219821971|0.892995061670606|0.918279620224526|0.910610776948222|0.920822898869567
PD-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.771449978907337|0.813727650697107|0.919379854722973|0.902195106082452|0.87643057575624
PD-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.507911322667372|0.820762735875786|0.815297532473256|0.867254742700994|0.896662741962226
PI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.303771973838258|0.404052781225517|0.566811911866973|0.882133079814438|1.06325824596614
