#Treatment	Dose	Effect
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.279219634658817|0.74102090605536|0.974043281514342|1.02063919057605|0.990819521982575
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.248451113501546|0.645213154127591|0.930399358206669|0.998878179520928|0.977970476847833
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00192343931743897|0.0168820788740082|0.590287931068094|1.02681118453971|1.01162186222716
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00302811730380594|0.00808364361788539|0.194498053817312|0.948931386500835|0.944061056202117
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.294110532921918|0.713041289681502|0.933995999163224|0.931874640447675|0.972928978609905
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0244626327074944|0.662707232885309|0.856852413576696|0.877020030333142|0.893843810470164
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.289310146363497|0.59588666846373|0.998065728794049|1.12909347884687|1.02391429466491
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.197976847028653|0.37222881954816|0.952054844420484|1.03933018118766|1.02322218255732
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.726842167581008|1.04566995046311|1.06379584595008|1.01747329716354|1.01810111327216
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.711528594545526|1.02404150194908|0.97679375047614|1.01597167851777|1.01405151579958
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.517147023149762|0.977557683476213|1.02084855330314|1.26576554396465|1.09307637502274
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.468936188172589|0.901555476727138|0.995778436765485|1.03208327764541|1.07359347381093
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.57133773385674|0.858368929032088|0.908190277885311|0.912661086666809|0.9029584102766
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.284006727628247|0.866539603887001|0.935021719828218|0.940665415806632|0.844475487151779
F4	10|2|0.4|0.08|0.02	0.31745846085866|0.903724064435217|0.981763066066242|0.945861031509315|0.9753169451105
F4	10|2|0.4|0.08|0.02	0.207695706701497|0.86908591145681|0.887069419264285|0.898324138513623|0.940954961628685
