#Treatment	Dose	Effect
BI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.01748890094628|1.0541115126449|1.01627406216835|0.946400357626696|1.00147759885068
BI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.774275447630553|1.04242722057855|0.98074344038247|0.969236596676938|1.07197919759216
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.857976921770506|1.13339037200106|1.0827989963758|0.962325639522029|1.02374795317702
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.797759469860832|1.10107700540586|0.913797910077579|1.00158618767003|1.04092364188689
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.952814360247305|0.881249528012267|1.01320252295913|0.940337467125028|1.01307118724205
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.723213259653996|1.05325991666749|1.07687407859786|1.02831926399464|1.04365927574919
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.254777916589139|0.338095744398076|0.366656920337046|0.502897317987294|0.674795991600436
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.237394008665373|0.272985832380851|0.385821748491534|0.531631269769544|0.632944366178464
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.25069866520745|0.280912271101644|0.376360687134789|0.471574586175223|0.66703147087755
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.255349918896207|0.288677389304722|0.397050297380575|0.501188870865824|0.626512146025914
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.518906030550142|0.723981752659256|0.974022580539799|1.00190530109201|1.01438230138597
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.553342986858866|0.860042025498372|0.875338871408507|1.05215081274701|0.958703959760041
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.494348341972148|0.703190021743697|0.975412023185707|1.09604128463805|1.01671937005728
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.553289088978841|0.816677358736935|0.99248905718649|0.940724297871616|1.09409968037333
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000981536776633225|0.00141547935156581|0.00327523324413403|0.616870034198808|0.98773595627512
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00160145474082263|0.00153946294440369|0.00509365927242295|0.633773130689039|1.1082273445814
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00112103806028985|0.00218969116449138|0.00522801861761339|0.634748512922059|1.0712409210323
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00135153186707841|0.00145630177925503|0.0101941124547852|0.618676808394165|1.00700648787681
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.592553721549046|1.15206352235262|1.09755218437596|1.08773547901494|0.860371677850926
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.66876570301816|1.01326209331171|1.02189146497896|1.08898641987088|0.959270213826077
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.597879407818034|1.16898743923096|1.06120900151785|1.00199080490112|0.986405332277437
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.722750170483293|1.17911744649024|1.0964385490222|0.997019292109373|1.10220198420555
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.785710907358734|1.26995087871028|1.2712211403977|1.29213991797353|1.23561327288329
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.923047817244478|1.2691806136445|1.36722049175343|1.22449172640725|1.25518070823846
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.768465275042668|1.13585401076539|1.14223447551529|1.31302350006564|1.09740055139819
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.871813049757122|1.34936326637784|1.26140212682158|1.20406984377051|1.20031508467901
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.06946987951807|1.12172289156627|1.1354578313253|1.00526506024096|1.085
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.08922891566265|1.2198313253012|1.08003614457831|1.00301204819277|1.10332530120482
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.18433443911237|1.3194370189056|1.14475828529099|0.95302264163097|1.01336596991852
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.15802763374022|1.35312570453155|1.13060001932429|1.12070598086895|1.13154046829205
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.0327137500078|1.019049223493|1.02864558960248|0.987140370252513|1.01590451054165
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.09343665961602|1.20991582901247|1.00527238580137|1.06775483717999|0.963218089586882
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.0286797850929|1.2411783296462|1.30485204344716|1.03862007019412|1.04403599527604
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.11939320347977|1.21915534190522|1.1663134782681|1.09436284702008|1.15328598280078
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.912312600028307|0.841849121928382|0.98577012270139|0.905431741227449|0.923014948447996
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.588574725908829|0.958137813149844|0.961284281810363|0.983091813737765|0.962960946771331
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.964330118142645|1.03074206752468|1.19731127549775|1.01548173926866|0.984802121003957
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.669728572807321|1.02017111097234|1.24234286914609|1.29687810472173|1.1208847356977
F4	10|2|0.4|0.08|0.02	0.880841435316726|0.920939795633711|0.943876760308719|0.946387428063686|1.06174382923326
