#Treatment	Dose	Effect
JN-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.200414182431885|0.885701862346985|0.943908496635689|1.07669744784028|0.985179343940924
JN-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.206206840642941|0.898584262541547|1.00634539277318|0.9646028786416|0.920811561733081
D1-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.343219900405966|0.85416259358504|1.03499591733465|1.04024012972525|0.969673271767507
D1-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.504962450979265|0.890749408684385|0.930111669522616|1.03007371798558|0.976742224726768
D1-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.305658800004519|0.854464867388938|0.893493151974574|0.91788018120813|0.950958572929494
D1-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.434146359832951|0.826673595655825|0.95604987365892|0.964289345549442|0.99827151846538
60-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.788230056325487|0.948980300375367|0.940353800847129|1.04857715856503|0.993730266678103
60-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.860575018278213|1.04534222124194|0.980725165116593|0.982211929239831|0.987031659089888
60-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.880261819543688|0.973090296249324|0.93953721948666|0.964272186780496|1.03289342089024
60-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.867528333283682|0.897183056632521|0.943248315749603|1.07977580212026|1.01500185129229
SB-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.811616857288781|0.979152802067695|1.0302261154876|1.01656013495736|0.981149304319564
SB-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.662745887050594|0.888304211226843|1.04192654728925|1.03706684413353|1.03338337486264
SB-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.706450623976551|0.83646505506995|0.941026925578926|0.986219427392159|0.966494440664279
SB-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.490358085524791|0.847501476756967|0.954381294910236|0.931336408975691|0.980985352066338
RU-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.730294293831425|0.864770565712544|0.865625317466712|0.850660155606856|0.847255160914024
RU-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.565705538020689|0.810164539712677|0.885088435278828|0.941656186616129|0.881094922984765
