#Treatment	Dose	Effect
CT-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.620960884927565|0.855969832996375|0.947863665442099|0.946038961214238|1.08681111342048
PD-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.593437173690486|0.748988360723121|0.675113801440421|0.769647502750893|0.916712408505684
PD-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.589015320750285|0.685346357205042|0.747885450520946|0.846953338218136|0.893847446073563
PI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.801353296943919|0.959947791589981|0.942579335888416|1.05951014543362|1.11845069253425
PI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.726818922113868|0.810421073420939|0.773302725771319|0.902942161439624|1.02900944273819
PK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00155206058700744|0.00195990132519918|0.0253087835866761|0.872915126643046|1.11179651012946
PK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00164269186216116|0.00232242642581405|0.0115781454008876|0.781785379475981|0.940288150810442
JN-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.52790129118419|0.984448155871681|0.971917441056992|0.821709990177456|1.02976199698197
JN-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.276221078496686|0.948182209731445|0.909821613933758|0.853328045065954|0.955098271914033
D1-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.848611612326712|0.919451175053947|1.00682717022264|0.993452692202886|0.941751791487763
D1-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.716820959240738|0.911074941756701|0.873602835939245|0.869360710752364|0.963109713435606
SB	10|2|0.4|0.08|0.02	0.793098515133438|0.90457822609597|0.945963381749179|1.04276987942376|1.07073428149572
SB	10|2|0.4|0.08|0.02	0.734254503051521|0.86052619503281|0.912654431790882|1.01600395172632|1.03804076432433
5Z-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.604374366528718|0.628158420795985|0.706373135966872|0.91699834818773|1.00461843647161
5Z-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.656527722107478|0.465530226632728|0.786232004309519|0.779042663732381|0.941088766400045
AK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.930305779848813|0.8858370376307|0.971717582269749|1.00793144211421|1.02019354894109
AK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.793327398824738|0.892672217626635|0.915822525753573|0.886146166374235|0.916967447025924
BI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.892480153166855|0.976563318690718|0.937104727270668|0.949407922872785|1.03745620668462
BI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.866208412281671|0.892899322814441|0.835790290558204|0.967058363708972|0.986589403504598
CT-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.791566866112845|0.849696492701261|1.05007638034624|0.98814168011973|1.04314792378698
CT-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.710111022629033|0.806502090001766|0.93255290074893|0.891168077043445|1.06980822800695
PD-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.742301738078081|0.8069150751811|0.7818144831795|0.798709112411346|0.9042833056928
PD-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.707436739957177|0.74754252102347|0.742536194157217|0.797550623549734|0.815879572324529
PI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.959521561683791|0.874207898787373|0.901818021519438|1.04360092425584|1.08305445248127
PI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.710236978315254|0.748132937083745|0.996418324951601|0.918995367700271|0.984883494539323
PK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00116043747094537|0.00134219273747898|0.010513843110252|0.934655486387579|1.03955623752617
PK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00114645629659663|0.00134219273747898|0.00433416404810922|0.892558170423525|0.90658128829531
JN-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.517907195234624|0.978102815797783|1.0321655094984|1.01234616029347|1.06102909358834
JN-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.198396207658752|0.86112031561261|0.886054335580098|1.00651418814348|1.00727827005618
D1-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.819118789537938|0.932440531241907|1.00397321593726|0.926684177425918|1.0669675557693
D1-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.739950427287189|0.83542599237912|0.884865524767859|0.973874440457253|1.00403240723614
60-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.896937164508999|0.965835175244711|1.01158825386801|1.05473634354279|1.09068519103252
60-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.978733817492895|0.999052731291443|0.909520050520998|0.95154720555731|1.11908746447742
RU	10|2|0.4|0.08|0.02	0.95859436684791|1.06109304803247|1.04152286119166|1.05291466833085|1.10794288925743
RU	10|2|0.4|0.08|0.02	0.767788493033551|0.997583033654791|0.961573338206342|1.07449841914541|1.03272386245703
5Z-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.727590653113853|0.706548771393621|0.897821239516713|1.0634819759091|1.00211961692608
5Z-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.805630760527369|0.714351312729824|0.762665353998068|1.00855561147458|1.03371182760939
AK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.916158392724197|0.979982453626192|0.96470103006302|0.992146075309596|0.99520795249197
AK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.684867825473001|0.940471654916655|0.898472207173042|0.979842641882705|0.990468334387747
BI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.04532643060694|1.03207194844786|1.08161252470596|1.04721324512605|1.06335252634328
BI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.877228409812995|1.03403673050909|1.09221611043323|0.99371191772865|1.09273069621117
CT-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.689667418889423|0.954045355332766|1.01844548851319|1.10957049313751|1.07254633568865
CT-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.539084754541083|0.942503052051348|0.934556620176834|1.07254633568865|1.02723539639673
PD-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.71146195137354|0.748642248184402|0.735364698452794|0.842058730659931|0.997426586675087
PD-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.618645405746764|0.725386801389327|0.754910009472687|0.915677297126618|0.949747395011051
PI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.673179903206713|0.889736894026438|0.954070772837529|0.921397815767789|0.954488585587781
PI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.78281396887295|0.878168123208338|0.995917040957255|0.944721051959658|0.849329758713137
PK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0013250257924868|0.00138571399672284|0.00551251188477333|0.939989480711266|1.07357433293549
PK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0013250257924868|0.00177007262355107|0.00446058301134869|0.883387615560456|0.921115449193858
JN-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.322330349162918|1.03929019018469|0.867879308364831|0.937392337688924|1.06854937362379
JN-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.283624344040064|0.896040024166288|0.992555385237594|1.0232625487445|0.956295967125859
D1-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.876890365310334|0.925830617029794|0.886809422064183|0.96074486501661|0.856677947774191
D1-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.720660022770162|0.843244592086589|0.811044048306014|0.928533923901912|0.951064946947603
60-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.885753128001298|0.941664737854469|0.897395172382602|0.874334559791848|1.07797456096244
60-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.68236852816997|0.849060468927501|0.840483240617326|0.839876662436582|0.994937200535279
SB-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.920469852121142|0.976029430934345|0.877458974841765|0.939113306200484|1.08254855669655
SB-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.891595092913112|0.915707602508582|0.831342786379503|0.881074113233782|0.988821459090712
D4	10|2|0.4|0.08|0.02	0.875586968884556|0.909411232199436|0.932251662546569|0.921880621612525|0.964989612710792
D4	10|2|0.4|0.08|0.02	0.653830530506134|0.860536425147685|0.858131680651788|0.852477281431705|0.97317874261574
5Z-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.562448162158882|0.546062347015152|0.754941031294884|0.945360386786155|1.03905285942589
5Z-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.520967774563551|0.501861104929905|0.672334270628932|0.864918172071288|0.877763841967916
AK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.85636537030842|0.931820110945231|0.988051667923247|0.998716790077841|0.988381208214541
AK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.784925029583731|0.791595723965069|0.895690511736128|0.902491025020097|0.904258559309763
BI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.900783439126208|0.913759312112374|0.915194144221422|0.919810560572269|0.953425141793644
BI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.86789667129348|0.885821675322447|0.824217470640528|0.8408636025723|0.92193161673347
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.740025380508089|0.791180140417528|0.843909875252408|1.00970791132253|1.05361565823044
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.678452374301304|0.825776380164894|0.816081770995453|0.890967572011206|0.954732773046645
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.737499818953406|0.751033413959417|0.794333965789436|0.842918181423171|0.914062251060933
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.540080819199629|0.712124328317136|0.730999522036991|0.758356386599655|0.880344133366163
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.876908975095934|0.882333227541176|0.927121040284618|1.0262934200977|1.03660926517359
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.833417301234661|0.864631166369635|0.844443359396674|1.04842543539391|0.937277087416134
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00111715840733314|0.00180464050415354|0.014809510169006|1.01119068079824|1.09463382029982
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0011553518571565|0.00167096342977179|0.00365702282058627|0.831500047741812|0.976195932397594
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.402536915911577|0.910095503621198|0.852996431885008|0.973453778370668|1.03551036045809
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.242788761130165|0.753993934666107|0.933147465161258|0.964526566993321|0.948472357494657
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.865153309314454|0.969932730341891|1.04465999848832|1.0484492706155|1.03579148925449
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.980343150840241|0.902290191731123|0.976473255901842|0.913940187951929|1.02973470056184
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.875323396532417|0.884706722786423|0.905867474997104|0.986523535544658|1.05900297331737
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.843215430358729|0.88423369502259|0.989101054176159|0.938014055682125|0.981252654747654
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.758241096736539|0.927483583238021|0.969098013761552|0.944809842990586|0.948840423053871
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.788946788491385|0.989313728312731|0.90067237403783|0.962554864308167|0.990716579555537
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.848420552678946|0.905246477232122|0.941280913689135|0.983014810162261|1.04394221528778
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.683118456884517|0.863033186925865|0.909356835468041|0.939984774806966|0.948036815670852
F4	10|2|0.4|0.08|0.02	0.889964671058913|0.926897737038098|0.974840064928865|1.07974792323117|1.11517234794233
F4	10|2|0.4|0.08|0.02	0.735348037811515|0.912107323594004|0.870466914924091|0.998023488971641|1.08573474649098
