#Treatment	Dose	Effect
JN-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.560501546505745|1.02842480589157|1.06984268355857|1.14046089203542|1.05165117131527
JN-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.295547699326566|0.874610344169476|0.99735533885289|1.03508341436963|1.01274163205584
D1-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.922458790159543|1.05894055360632|1.05617710513496|1.11572025346322|1.0199806830199
D1-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.773626381087692|0.939114168784235|0.972095620748949|0.985943417204334|0.98928399864883
60-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.943644310629453|1.05986605195405|1.02002720017791|1.04911599421782|1.02718478158599
60-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.685868737757782|0.960532370777771|0.992255647458323|0.979206404872082|1.05946232604289
SB-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.467194713224253|0.838346333719114|0.948749080364326|1.01701250704516|1.04592456190923
SB-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.40419741082223|0.624011633660172|0.898710573981732|0.952996398900309|0.925247710053393
D4	10|2|0.4|0.08|0.02	0.89458960726692|0.919099594463568|0.959641605827893|0.985068848138612|0.960509010120548
D4	10|2|0.4|0.08|0.02	0.849604226020301|0.913223844312561|0.918481444277998|0.953875527484004|0.907002461799731
5Z-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0221596249554223|0.279856947117502|0.369364621699626|0.565956936866437|0.831081227413368
5Z-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00114927426795127|0.258817720192142|0.304603882987709|0.504268629865827|0.654817783719866
AK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.635736551761744|0.805724949181912|0.923937970124114|1.05167540646897|0.985689141742326
AK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.43497556793568|0.650038321836782|0.8493785197774|0.933992529513873|1.00003635273054
BI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.74304512331125|0.901963779813586|0.909463113564492|0.925028729339913|0.984687304262806
BI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.63631965697932|0.845034704363634|0.874128996009295|0.873093551557495|0.94945842860271
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.665980104523954|0.949436751032837|1.00147633670057|1.01411501056359|0.962711806416847
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.551287731693339|0.860271488568227|0.864835644207987|0.927936635560384|0.93101590098451
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.180714110545586|0.14315941642394|0.19562447026834|0.255950849506731|0.339809576257696
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.130420902727284|0.0817798123297867|0.132850892100383|0.181805196425575|0.286508137969014
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.690377302648651|0.844064415951659|0.933952749853071|0.977339959519111|0.989209304152307
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.722871421978907|0.812731702595911|0.821748028204772|1.01110208730463|0.984827381127714
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000892967342619564|0.0012706574573227|0.00190193950618366|0.82270888792518|1.01186958630118
