#Treatment	Dose	Effect
PK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00104315494762803|0.00156473242144205|0.0066016805971317|0.858702799567091|0.98081898840049
PK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00160943906205468|0.00193728775988063|0.0026823984367578|0.821380205762313|0.882628303401616
JN-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.736897225478703|0.962391559202814|0.92020320437671|0.980078155529504|1.01597499023056
JN-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.598671355998437|0.865189527159047|0.932325127002735|0.87030871434154|0.970629152012505
D1-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.933224967377573|1.0194417535876|0.933467577726291|0.994002325593486|0.986516063404482
D1-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.859935846892075|0.980762732277747|0.885742656271391|0.926445741061975|0.97442713631409
SB	10|2|0.4|0.08|0.02	0.877980776006384|0.869014403711484|0.976869882854384|1.01563782559758|1.06169618319738
SB	10|2|0.4|0.08|0.02	0.814797180582509|0.846411832259514|0.948995663460128|1.00826361286907|1.03999253437141
5Z-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.442244677829286|0.802045139359464|0.877761337286477|1.01267815603285|0.945316285554625
5Z-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.463542643272074|0.783078959533494|0.836546655205767|0.900789576769771|1.02370586826525
AK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.892206450955454|0.960067100283961|1.06457422478987|1.03155712244822|0.95010396232664
AK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.761117893866321|0.828633635193158|1.06322594805607|0.972029136887323|0.978660777101244
BI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.803676376079712|0.847161035182263|1.00525116749529|0.975327522711905|1.00157777185829
BI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.726140159043874|0.774892750631947|0.875117587778695|0.95788448176621|0.982383720821932
CT-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.77935912465807|0.883180930050801|0.941625635013677|0.932997264556467|1.10221961703791
CT-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.732364204767487|0.895865572489254|0.920296991012114|0.921219226260258|0.965111371629543
PD-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.844813104651821|0.881857072603914|0.922539287408445|0.945543800401252|0.974345137326411
PD-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.871046779324661|0.847676700858644|0.838502748269004|0.852872952942149|0.915071307027126
PI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.651305359348579|0.886939211148021|1.04354875460204|1.03530766186576|1.06894360032139
PI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.613630422008227|0.747646515643925|1.07691606605346|1.02203940662214|0.990235888088071
PK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00174460690398497|0.00179027724178562|0.00506027342831241|0.919279961454235|1.04381383856906
PK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00252100264659608|0.00225611468735228|0.00289549941656143|0.870284823061694|0.910438184056028
JN-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.938246656154156|1.0161004710217|1.12779844557735|1.07114315895834|1.03282863077104
JN-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.760319866093071|0.896431359941212|1.05815051261246|0.929857060477554|1.09486264843818
D1-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.910643508824409|0.948222031109782|1.05749887825307|1.03942005683518|0.966029763685313
D1-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.876018920131618|0.954475770266228|0.982126832186659|0.998289335925815|0.961477340711935
60-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.996046155831229|0.965383126578312|1.01127168162799|0.956857938102524|0.984276787524654
60-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.952636817754511|0.901891209378629|0.955807266225507|0.937273045658145|0.949263608044091
RU	10|2|0.4|0.08|0.02	0.894207963234558|0.987000665851398|0.970132430444641|0.96571082900675|1.00322480971012
RU	10|2|0.4|0.08|0.02	0.845970728650324|0.895130580857425|0.852733689904735|0.940069022242918|0.952724550767905
5Z-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.643668677371773|0.87627088155228|1.04391331982203|1.05804501900776|1.05071533932148
5Z-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.539326273879622|0.818333793037284|0.879715063499107|1.02533968124528|1.02185712401214
AK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.914475441917606|1.03696328789896|0.9839400257124|0.944974093500883|0.921316858520144
AK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.804647413574594|0.947997469863286|0.964219573850078|0.983437651996593|1.0129680924185
BI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.12069484631832|1.17642135774685|1.07607281189241|1.05080196165485|1.00384267977158
BI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.02228550141102|1.06862219772705|1.13374873058885|1.02036671310543|1.05345560505621
CT-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.879365465151062|1.07786793299432|1.12009235716422|1.01848078073587|1.01925665569847
CT-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.832420355967694|1.02586561471732|0.950194436135208|1.01196530062818|0.977892237511217
PD-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.909835763396066|0.924794013013585|0.947788980848279|0.94323606938121|1.01639601113344
PD-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.858730714641205|0.911347256271774|0.890674826270483|0.9597887596542|0.928701775082487
PI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.846451786925987|0.89827467761717|0.971271787797007|1.01586802077524|1.02247091565294
PI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.808981060930671|0.849716707712322|0.985584616097858|0.958021042161591|0.919499472470845
PK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00138256257974155|0.00183940934522137|0.00414768773922465|0.929244354410901|0.997699235533061
PK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00139458486304365|0.00251265721013899|0.00223614469419068|0.850678733031674|0.868664068851617
JN-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.753865204109645|1.0028737142757|0.984474933852004|0.943682209255463|0.992915009316208
JN-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.704819312294474|0.981180676023761|0.99827109872844|0.950399224330781|0.941363378833809
D1-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.00124517735713|0.971018980890076|1.03761338855985|0.996528987470806|0.940166969896386
D1-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.806591052787778|0.968967341514084|0.948463851146466|1.02170995754784|0.946050916786023
60-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.875328121937662|1.03612313287774|1.04016501681976|1.06835539019602|1.03158002962335
60-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.856076159631925|0.894959211671984|1.02906108128428|1.01282928662997|0.962501726957567
SB-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.824358162680641|0.877652919234322|0.8797911241111|1.02525587463438|1.026498706219
SB-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.814649376162022|0.828848392921874|0.9045408455598|0.977874590943032|0.969983278569675
D4	10|2|0.4|0.08|0.02	0.939757715904126|0.986702893613315|1.04333044398146|0.983527884587017|1.0069723760166
D4	10|2|0.4|0.08|0.02	0.834369894171049|0.913902465408558|0.914121625323647|0.949293981953024|0.959038168947007
5Z-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.449284749282796|0.804585298851421|0.937341362214865|0.994038450267571|0.950860419788077
5Z-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.441608521394405|0.74837511327245|0.818615303464972|0.992878299928918|0.986296099821018
AK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.936696513577132|0.925517064138733|0.94243810124586|0.937187147721764|0.956316038479735
AK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.855157791445443|0.861606125917749|0.871880238541648|0.874876611353508|0.955813722569755
BI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.06019432508807|1.01787765003419|0.986386921121563|0.9479993290236|0.958199460638202
BI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.959457541387631|0.978631982348159|0.910179486186919|0.957922037703712|0.924863546626408
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.758858890698847|0.962925835606491|1.03028842601071|1.006435527453|0.997972632140367
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.739549095395529|0.837524619185776|0.888199176843668|0.888828913928435|1.00372380245533
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.805461777082119|0.887114475814063|0.926003077010455|0.91225174689668|0.936266460418988
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.699253131718432|0.804546358119248|0.832376430968557|0.860066184122827|0.915753057382403
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.47931800946628|0.764415156507414|0.969294736016318|0.964927695405455|1.01927773855286
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.48725190240841|0.706257681545985|0.864574671164457|1.02247326168249|0.924060563269789
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00113490299588598|0.00157052232764019|0.00905629663383759|0.946233970569902|1.12520473392113
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00124953966213709|0.00160491332751552|0.00279713465652705|0.844889425770609|1.02905323010302
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.612472285055206|1.00606369398222|1.02261427515621|0.971159660477929|1.05008846386419
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.493953102954021|0.980196412174419|0.92371391458198|0.962307675080065|0.950437840137959
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.0399544713926|1.03424780347857|1.04660289543233|1.0372040445619|1.11164643606115
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.9387125694818|0.865866797639373|1.06364805762799|0.990633892306133|1.06634859009441
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.02560710836392|1.06979640718563|1.07660189298822|0.99110990921383|1.05084489086343
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.0037751593587|1.04921923894147|0.956748696156075|0.951469963299208|0.871553409310411
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.962257962996704|1.02238417835788|1.06386629784838|0.940996803206732|1.09010319182416
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.923021880642009|0.903768240769881|0.921087240985209|0.975058387027314|1.06542991072168
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.737083235271044|0.901744201249967|0.93220365576214|0.942543343531811|0.96568081378625
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.598619282968542|0.777568578227557|0.832854789362203|0.860929369001857|0.862529745561047
F4	10|2|0.4|0.08|0.02	0.860422694047634|0.821102317523504|0.935372146442609|0.947443387398851|0.985835206926347
F4	10|2|0.4|0.08|0.02	0.642045576672585|0.815198529211572|0.853928526904509|0.922590158155611|1.00441781052565
5Z-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.460532798817496|0.776365590916217|0.858698573380215|0.927034108978522|0.900265391592573
5Z-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.412952677431636|0.631637589303711|0.796443528700365|0.876732883921973|0.937644173702717
AK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.974804905239688|0.941431812334822|1.01476405422894|1.00374363651956|1.06975388045622
AK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.765878491631|0.895086184718292|1.07034637603199|0.980311995696611|1.03972370995782
BI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.84311377245509|0.909864400231794|1.00080819007147|1.04104152984354|0.955370291674715
BI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.737452578713541|0.906977786362758|0.942185821904578|0.921237782499517|0.970124782692679
CT-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.823990856839978|0.950908518708694|0.988567737233532|1.01353916485846|1.04461928345452
CT-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.752236927103175|0.984082288440197|0.941400957381611|1.0459907574578|0.924426482036672
PD-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.867119779557749|0.971958205407957|0.93668910148252|0.997323142088777|1.00561249945655
PD-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.834103128383596|0.907639085851988|0.940307931821899|1.02143763624958|0.947943084162649
PI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.885686718684453|0.875274771373437|0.90375031462371|1.00903599295243|0.983555667421764
PI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.786081047067707|0.752454064938334|0.812584948401712|0.948720530245826|0.919640909472271
PK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00112598054138813|0.001801568866221|0.057583478946249|0.823417059022232|0.993173221680547
